ID,trial,day,exit_lat,exit_fast,uniq_tiles,tot_u_tiles,tile_fails,sex,mass,mass_sc
1,1,2016-08-09,4,No,13,23,10,Male,1182.9,0.3892876116976006
2,1,2016-08-29,8,No,14,23,9,Male,1096.5,-0.42098580797651974
3,1,2016-08-10,2,No,16,23,7,Female,1131.7,-0.09087441477595211
4,1,2016-08-11,0,Yes,7,23,16,Female,1024.6,-1.0952758412469974
5,1,2016-08-12,0,Yes,8,23,15,Female,1050.8,-0.8495679292624838
6,1,2016-08-14,761,No,15,23,8,Male,1142.4,0.0094719462253571
7,1,2016-08-15,0,Yes,12,23,11,Male,959.6,-1.7048565389184982
8,1,2016-08-16,0,Yes,16,23,7,Female,1198.8,0.5384004285126283
9,1,2016-08-17,0,Yes,9,23,14,Male,1080.4,-0.5719742577074601
10,1,2016-08-18,3,No,10,23,13,Female,1093.4,-0.45005811817315977
11,1,2016-08-19,41,No,8,23,15,Female,1319.5,1.6703448932657101
12,1,2016-08-20,4,No,12,23,11,Male,1090,-0.4819438777436699
13,1,2016-08-22,9,No,11,23,12,Male,1124.7,-0.1565215668328831
14,1,2016-08-23,0,Yes,13,23,10,Female,1406.9,2.489996477519392
15,1,2016-08-24,91,No,13,23,10,Male,1189,0.44649441563292536
16,1,2016-08-25,0,Yes,6,23,17,Female,1256.6,1.0804583412112865
17,1,2016-08-27,1,No,7,23,16,Female,1172.7,0.2936303329860722
18,1,2016-08-30,44,No,7,23,16,Female,1182.9,0.3892876116976006
19,1,2016-08-31,0,Yes,4,23,19,Male,968,-1.6260799564501813
20,1,2016-09-01,0,Yes,10,23,13,Male,1156.4,0.14076625033921905
1,2,2016-09-06,0,Yes,14,23,9,Male,1182.9,0.3892876116976006
2,2,2016-09-26,5,No,13,23,10,Male,1096.5,-0.42098580797651974
3,2,2016-09-07,0,Yes,10,23,13,Female,1131.7,-0.09087441477595211
4,2,2016-09-09,0,Yes,8,23,15,Female,1024.6,-1.0952758412469974
5,2,2016-09-09,0,Yes,1,23,22,Female,1050.8,-0.8495679292624838
6,2,2016-09-11,3,No,10,23,13,Male,1142.4,0.0094719462253571
7,2,2016-09-12,0,Yes,11,23,12,Male,959.6,-1.7048565389184982
8,2,2016-09-13,0,Yes,13,23,10,Female,1198.8,0.5384004285126283
9,2,2016-09-14,212,No,10,23,13,Male,1080.4,-0.5719742577074601
10,2,2016-09-15,0,Yes,10,23,13,Female,1093.4,-0.45005811817315977
11,2,2016-09-16,32,No,5,23,18,Female,1319.5,1.6703448932657101
12,2,2016-09-17,0,Yes,9,23,14,Male,1090,-0.4819438777436699
13,2,2016-09-19,4,No,7,23,16,Male,1124.7,-0.1565215668328831
14,2,2016-09-20,0,Yes,8,23,15,Female,1406.9,2.489996477519392
15,2,2016-09-21,8,No,12,23,11,Male,1189,0.44649441563292536
16,2,2016-09-22,0,Yes,13,23,10,Female,1256.6,1.0804583412112865
17,2,2016-09-24,0,Yes,8,23,15,Female,1172.7,0.2936303329860722
18,2,2016-09-27,NA,NA,10,23,13,Female,1182.9,0.3892876116976006
19,2,2016-09-28,0,Yes,4,23,19,Male,968,-1.6260799564501813
20,2,2016-09-29,0,Yes,11,23,12,Male,1156.4,0.14076625033921905
